Agency,ContactEmail,ContactName,ContactPhone,CustomId,ProjectNumber,ProjectType,additional_information,award_description,awarded_to,contract_amount,published_date,sub_contract_award
"Dudley, Town ofHousing Authority22 Joshua PlaceDudley, Ma  01571",Notify email address listed when final publish date assigned.,Lucille Allard,508-949-0522,CAN3/11/20133/20/201300049,08011,General Contract , ,"Full depth reclamation of roadway pavement, repaving roadway, line striping, and other site improvements.","Precise Paving, Inc.405 Palmer Rd.Brimfield, MA 01010","$52,700", 3/20/2013, 
"Gardner, City of 95 Pleasant St.Gardner, MA 01440",Notify email address listed when final publish date assigned.,Melissa Martinez,617-445-3555 ext. 316,CAN3/11/20133/20/201300050,GHS-02,General Contract , ,"The work of this contract includes installation of new boilers, pumps, expansion tank and other central heating plant equipment in the boiler room and, the comprehensive renovations of two science laboratory classrooms and support space at Gardner High School.","Five Star Building Corp.17 East St.Easthampton, MA 01027","$1,454,000", 3/20/2013,"Acoustical Tile, The Cheviot Corp.; Resilient Floors, Berkshire Carpet, Inc.; Plumbing, Charles M. Maran; HVAC, General Air Conditioning & Heating, Inc.; Electrical Work, DiRock Electric Co."
"Holbrook, Town ofHousing Authority1 Holbrook CourtHolbrook, MA  02343",Notify email address listed when final publish date assigned.,Nancy P. Gordon,781-767-0024,CAN3/11/20133/20/201300051,133020,General Contract , ,667-1 Unit Electric Panel Replacement.,"Brite-Light Electrical Co., Inc.11 Front St.Weymouth, MA  02188","$31,000", 3/20/2013, 
"Holyoke, City of Gas and Electric Department99 Suffolk St.Holyoke, MA  01040",Do not notify email address listed when final publish date assigned.,Yocelyn Delgado,413-536-9308,CAN3/11/20133/20/201300052,12-50,General Contract , ,2013 Road Repairs Annual Contract.,"J.S.C. Construction, LLCP.O. Box 1416Holyoke, MA 01041",Various Unit Prices, 3/20/2013, 
"Lynn, City ofPurchasing Department3 City Hall Square Room 205Lynn, MA 01901",Notify email address listed when final publish date assigned.,Charles E White,781-586-6893,CAN3/11/20133/20/201300053,03-132,General Contract , ,"Demolition and site Clearance of 248 Boston St., Lynn.","AccuTech Insulation & Contracting, Inc.P.O. Box 376Ludlow, MA 01056","$24,750", 3/20/2013, 
"Marlborough, City of 140 Main St.Marlborough, MA  01752",Do not notify email address listed when final publish date assigned.,"Mark Dascoli, Assistant Civil Engineer",508-624-6910,CAN3/11/20133/20/201300054,Contract No. ED 2012-09,General Contract , ,Maple St./Route 85 Water Main Replacement.,"Oliveira Construction, Inc.1100 G.A.R. HighwaySomerset, MA  02726","$310,616.01", 3/20/2013, 
"North Andover, Town ofHousing Authority310 Greene St.North Andover, MA 01845",Do not notify email address listed when final publish date assigned.,Joanne Comerford,978-682-3932,CAN3/11/20133/20/201300055,DHCD Project #196033,Designer Services , ,667-1 Fountain Drive Window and Storm/Screen Door Replacement Project.,"Alpha Contracting Associates, Inc.20 Mulberry LaneDedham, MA 02026","$187,000", 3/20/2013, 
"North Andover, Town ofHousing Authority310 Greene St.North Andover, MA 01845",Do not notify email address listed when final publish date assigned.,Joanne Comerford,978-682-3932,CAN3/11/20133/20/201300056,DHCD Project #196032,General Contract , ,"Parking Lot and Drainage Improvement Project at O'Connor Heights (667-4), North Andover.","Allied Paving Corp.10 Jean Ave. Unit 17Chelmsford, MA 01824","$40,400", 3/20/2013, 
"Northern Essex Community College100 Elliot St.Haverhill, MA 01830",Do not notify email address listed when final publish date assigned.,"Richard Goulet, Director of Facilities Management", ,CAN3/11/20133/20/201300057,HD0601,Designer Services , ,"Study and Design for Repairs, Renovations and Architectural and Engineering Systems Renovations at Northern Essex Community College, Haverhill and Lawrence (House Doctor) (DSB List #06-02, Item #3).","Johnson Roberts Associates, Inc.15 Properzi WaySomerville, MA 02143-3228","$300,000", 3/20/2013, 
"Pembroke, Town ofHousing AuthorityKilcommons DrivePembroke, MA 02359",Notify email address listed when final publish date assigned.,Sharon Sylvester,781-293-3088,CAN3/11/20133/20/201300058,DHCD FISG 231029,General Contract , ,Emergency Flooding Problems at 895 Center St.,"Aqualine Utility, Inc.268 Washington St.East Bridgewater, MA 02333","$39,000", 3/20/2013, 
"Somerville, City ofHousing Authority30 Memorial Rd.Somerville, MA 02145",Notify email address listed when final publish date assigned.,Gabriel Ciccariello,617-625-1152 ext. 330,CAN3/11/20133/20/201300059,274085,General Contract , ,Site Improvements Project at (200-1) Clarendon Hill:  Parking Lot Resurfacing and Walkway Resurfacing.,"E.J. Paving Co., Inc.101 Lindberg Ave.Methuen, MA 01844","$288,000", 3/20/2013, 
"University of Massachusetts - Amherst140 Hicks WayAmherst, MA 01003",Do not notify email address listed when final publish date assigned.,Peter Royer,413-545-0361,CAN3/11/20133/20/201300060,UMAPP13-142,General Contract , ,Campus Medium Voltage Electrical Services.,"Powerline Contractors, Inc.P.O. Box 2059Woburn, MA 01888",TBD, 3/20/2013, 
"Westfield, City of 59 Court St.Westfield, MA  01085",Notify email address listed when final publish date assigned.,Tammy Tefft,413-572-6254,CAN3/11/20133/20/201300061,2380,General Contract , ,Construction of the Granville Water Pipeline Replacement and Hydro Turbine Installation.,"R.H. White, Inc.41 Central St.Auburn, MA  01501","$1,748,926", 3/20/2013, 
"Yarmouth, Town ofHousing Authority534 Winslow Gray Rd.South Yarmouth, MA 02664",Do not notify email address listed when final publish date assigned.,Edward A. Roderick,508-398-2920,CAN3/11/20133/20/201300062, ,General Contract , ,FF kitchen upgrade 667.,"Davenport Building20 North Main St.South Yarmouth, MA 02664","$39,684", 3/20/2013, 
"Billerica, Town ofHousing Authority16 River St.Billerica, MA 01821",Do not notify email address listed when final publish date assigned.,Bob Cox,978-667-2175,CAN3/21/20133/31/201300001,031025001 FISH 031043,General Contract , ,Talbot Building Envelope Repairs.,"Aden Construction, Inc.5 Duval Rd.Dudley, MA 01571","$92,300", 3/27/2013, 
"Boston, City of Public Facilities Department26 Court St. 10th FloorBoston, MA 02108",Do not notify email address listed when final publish date assigned.,Doug Chakmakian,617-635-0532,CAN3/21/20133/31/201300002,7022,Designer Services , ,Long Island Administration Building Envelope Repairs and Restroom Upgrades:  Architectural design and construction administration services associated with the Long Island Administration Building Envelope Repairs and Restroom Upgrades.,"Beacon Architectural Associates, Inc.145 South St.Boston, MA 02111","$226,840", 3/27/2013, 
"Boston, City of Public Facilities Department26 Court St. 10th FloorBoston, MA 02108",Do not notify email address listed when final publish date assigned.,Gary Mendoza,617-635-0553,CAN3/21/20133/31/201300003,7010,Designer Services , ,Long Island Pier:  Provide engineering design and construction administration services associated with the Long Island Pier project.,"Childs Engineering Corp.34 William WayBellingham, MA 02019","$18,360", 3/27/2013, 
"Cambridge, City of Purchasing Department795 Massachusetts Ave.Cambridge, MA 02139",Notify email address listed when final publish date assigned.,Cynthia H. Griffin,617-349-4310,CAN3/21/20133/31/201300004,6013,General Contract , ,"Cambridge Reservoir Dam, Storm Damage repairs.","Grove Construction, Inc.1A Spaceway Lane Hopedale, MA 01747","$133,000", 3/27/2013, 
"Canton, Town ofHousing Authority660 Washington St.Canton, MA 02021",Do not notify email address listed when final publish date assigned.,Mark Roy,781-828-5144,CAN3/21/20133/31/201300005,050069,General Contract , ,Hagan Court Roof Replacement.,"Eagle Eyes Contractor, Inc.33 Goss Ave.Melrose, MA 02176","$39,665", 3/27/2013, 
"Clinton, Town ofHousing Authority58 Fitch Rd.Clinton, MA 01510",Do not notify email address listed when final publish date assigned.,Maryellen Donnelly,978-365-4150,CAN3/21/20133/31/201300006, ,General Contract , ,"Full-depth reclamation of pavement, selective demolition of existing concrete sidewalks, construction of handicap accessible parking spaces and new concrete sidewalks, line striping and other site improvements.","Lazaro Paving Corp.800 Mt. Laurel CircleShirley, MA 01464","$44,900", 3/27/2013, 
"Fitchburg State University160 Pearl St.Fitchburg, MA 01420",Do not notify email address listed when final publish date assigned.,Doug Thomas,978-665-4095,CAN3/21/20133/31/201300007,C1307 MART West Expansion,General Contract , ,MART West Renovations at 154 Main St. Fitchburg.,"Builders Systems, Inc.135 Southbridge St.Auburn, MA 01501","$147,320", 3/27/2013, 
"Gloucester, City of Purchasing Department9 Dale Ave.Gloucester, MA 01930",Do not notify email address listed when final publish date assigned.,Donna Compton,978-281-9710,CAN3/21/20133/31/201300008,13119,General Contract , ,Elevator Maintenance and Repair Services for All City Buildings.,"Motion Elevator Corp.44 Boylston St.Jamaica Plain, MA 02130","$23,900", 3/27/2013, 
"Hanson, Town ofHousing Authority80 Meetinghouse LaneHanson, MA 02341",Notify email address listed when final publish date assigned.,"Karen Reilly, Executive Director",781-293-7474,CAN3/21/20133/31/201300009,DHCD FISH 123019,General Contract , ,"Replacement of Asphalt Shingle Roofing at 667-1 Meetinghouse Lane Housing for the Elderly, Hanson.  Project consists of demolition of existing asphalt shingle roofing and associated underlayment, flashing and trim, new 50 year asphalt shingle roofing, underlayment, metal flashing and trim, painting of existing and new wood trim, gutters and downspouts.","P.O. Roofing, LLC3 Dodge CourtOxford, MA 01540","$239,900", 3/27/2013, 
"Hopkinton, Town ofHousing Authority100 Davis Rd.Hopkinton, MA  01748",Notify email address listed when final publish date assigned.,Linda Donahue,508-435-6022,CAN3/21/20133/31/201300010,DHCD #139033,General Contract , ,Roof Replacement.,"Eagle Eyes Contracting366 Riverside Ave.Medford, MA  02155","$42,500", 3/27/2013, 
"Lynn, City ofHousing Authority and Neighborhood Development92 Curwin CircleLynn, MA  01905",Do not notify email address listed when final publish date assigned.,Tim Leonard,339-883-2620,CAN3/21/20133/31/201300011,163065,General Contract , ,Exterior trim repair and painting at Tilton Place Elderly Housing (667-2) Development.,"Alpha Contracting Associates, Inc.20 Mulberry LaneDedham, MA  02026","$28,540", 3/27/2013, 
"Lynn, City ofPurchasing Department3 City Hall Square Room 205Lynn, MA  01901",Notify email address listed when final publish date assigned.,Charles E.White,781-586-6893,CAN3/21/20133/31/201300012, ,General Contract , ,"Replacement of Auditorium Fire Curtain at Lynn City Hall, 3 City Hall Square, Lynn.","Major Theatre Equipment Corp.101 Holmes St.Quincy, MA  02171","$38,898", 3/27/2013, 
"Lynn, City ofPurchasing Department3 City Hall Square Room 205Lynn, MA  01901",Notify email address listed when final publish date assigned.,Charles E. White,781-586-6893,CAN3/21/20133/31/201300013, ,General Contract , ,"Switchgear Replacement at Lynn Public Library, Lynn.","Jupiter Electric, Inc.142B Lafayette Rd.Salisbury, MA  01952","$104,300", 3/27/2013, 
"Lynn, City of Purchasing Department3 City Hall Square Room 205Lynn, MA 01901",Notify email address listed when final publish date assigned.,Charles E. White,781-586-6893,CAN3/21/20133/31/201300014,03-133,General Contract , ,Fire Alarm and Sprinkler Inspection Repairs for the City of Lynn Inspectional Services Department and the Lynn Water and Sewer Commission.,"Stilian Electric, Inc.108 Tenney St.Georgetown, MA 01833",Hourly Rates, 3/27/2013, 
"Pittsfield, City of70 Allen St.Pittsfield, MA 01201",Do not notify email address listed when final publish date assigned.,"Colleen Hunter-Mullett, MCPPO",413-499-9470,CAN3/21/20133/31/201300015,IFB#13-027,General Contract , ,Asbestos Abatement at the Library.,"T.L.R. Corp.279B Garden St.Feeding Hills, MA 01030","$12,790", 3/27/2013, 
"Pittsfield, City of70 Allen St.Pittsfield, MA 01201",Do not notify email address listed when final publish date assigned.,"Colleen Hunter-Mullett, MCPPO",413-499-9470,CAN3/21/20133/31/201300016,RFQ#13-014,General Contract , ,Asbestos Abatement in Cafeteria Walls at Pittsfield High School.,"American Environmental, Inc.18 Canal St.Holyoke, MA 01090","$9,999", 3/27/2013, 
"Pittsfield, City of70 Allen St.Pittsfield, MA 01201",Do not notify email address listed when final publish date assigned.,"Colleen Hunter-Mullett, MCPPO",413-499-9470,CAN3/21/20133/31/201300017,IFB#13-029,General Contract , ,Primary Digester Cleaning.,"McVac Environmental481 Grand Ave.New Haven, CT 06513","$88,500", 3/27/2013, 
"Port Authority, Massachusetts Capital Programs DepartmentOne Harborside DriveEast Boston, MA 02128",Do not notify email address listed when final publish date assigned.,Luciana Burdi,617-568-5950,CAN3/21/20133/31/201300018,A203-C2,General Contract , ,Authority Wide Water Meter Upgrade and Replacement at All Massport Facilities in Boston and Bedford.,"Delta Controls Engineers, Inc.d/b/a harding & Smith 2000 Main St.Walpole, MA  02081","$783,659.20", 3/27/2013, 
"Public Health, Department ofLemuel Shattuck Hospital170 Morton St.Jamaica Plain, MA 02130",Do not notify email address listed when final publish date assigned.,Barry Bergen, ,CAN3/21/20133/31/201300019,DPH.821713.411,General Contract , ,Main Lobby Renovations at Lemuel Shattuck Hospital.,"A.J. Robicheau Construction, Inc.1012 S St. #2Roslindale, MA 02131","$389,200", 3/27/2013,"HVAC:  Ambient Temperature, 11 River St., Middleton, MA 01949."
"Sharon, Town ofHousing Authority18 Hixson Farm Rd.Sharon, MA 02067",Do not notify email address listed when final publish date assigned.,Jane Desberg,781-784-2733,CAN3/21/20133/31/201300020,266048,General Contract , ,Roof replacement.,"J.D. & D. Construction114 Upper Gore Rd.Webster, MA 01570","$43,415.75", 3/27/2013, 
"Transportation, Department of (MassDOT)Aeronautics Division1 Harborside Drive Suite 205NEast Boston, MA  02128",Notify email address listed when final publish date assigned.,Kathleen Mahoney,617-412-3689,CAN3/21/20133/31/201300021,2013-RW-MARKING,General Contract , ,Re-mark runways at 29 Public-Use Airports Statewide.,"Hi-Way Safety Systems, Inc.9 Rockview WayRockland, MA 02370","$529,125", 3/27/2013, 
"Transportation, Department of (MassDOT)Highway Division10 Park Plaza Suite 6260Boston, MA  02116",Do not notify email address listed when final publish date assigned.,"Frank H. Kucharski, P.E.",857-368-9520,CAN3/21/20133/31/201300022,605183,General Contract , ,Andover:  Construction of a MassDOT Maintenance Facility at Interstate 93 and River Rd.,"Boston Building & Bridge Corp.1094 Blue Hill Ave.Milton, MA  02186","$4,691,000", 3/27/2013, 
"Transportation, Department of (MassDOT)Highway Division10 Park Plaza Suite 6260Boston, MA  02116",Do not notify email address listed when final publish date assigned.,"Frank H. Kucharski, P.E.",857-368-9520,CAN3/21/20133/31/201300023,605005,General Contract , ,District 1:  Guardrail Repairs and Improvements at Various Locations.,"DeLucca Fence Co., Inc.Five Old Ferry Rd.Methuen, MA  01844","$94,499.60", 3/27/2013, 
"Transportation, Department of (MassDOT)Highway Division10 Park Plaza Suite 6260Boston, MA  02116",Do not notify email address listed when final publish date assigned.,"Frank H. Kucharski, P.E.",857-368-9520,CAN3/21/20133/31/201300024,606513,General Contract , ,Northampton:  Transit Signal Priority System Installation at Various Intersections along Route 9.,"Dagle Electrical Construction Corp.P.O. Box 760982Melrose, MA  02176","$211,111", 3/27/2013, 
"Transportation, Department of (MassDOT)Highway Division10 Park Plaza Suite 6260Boston, MA  02116",Do not notify email address listed when final publish date assigned.,"Frank H. Kucharski, P.E.",857-368-9520,CAN3/21/20133/31/201300025,605700,General Contract , ,Wrentham:  Resurfacing and Related Work along a Section of Route 140 on Franklin and East Streets.,"D. & R. General Contracting, Inc.732 Newburyport TurnpikeMelrose, MA  02176","$2,762,649", 3/27/2013, 
"University of Massachusetts - Amherst140 Hicks WayAmherst, MA 01003",Do not notify email address listed when final publish date assigned.,Peter Royer,413-545-0361,CAN3/21/20133/31/201300026,UMA13-27,General Contract , ,PVTA CDL Training Course Relocation.,"Mass-West Construction50 West State St.Granby, MA 01033","$566,000", 3/27/2013, 
"Ware, Town of 126 Main St.Ware, MA 01082",Notify email address listed when final publish date assigned.,Christopher J. Dunphy,413-781-6045,CAN3/21/20133/31/201300027, ,General Contract , ,"School St. Improvement Project:  The project includes approximately 900 linear feet of new water main, hydrants and service connections, 575 linear feet of drainage pipe, drainage structures, concrete sidewalks, granite curbing and roadway reconstruction.","Pioppi Construction, Inc.72 Dowdy St.Southbridge, MA 01550","$354,900.01", 3/27/2013, 
"Westborough, Town ofPublic Schools45 West Main St.Westborough, MA 01581",Notify email address listed when final publish date assigned.,Brian Schlegel,508-836-7700,CAN3/21/20133/31/201300028, ,Designer Services , ,OPM services for the Sarah W. Gibbons Middle School feasibility study and schematic design.,"Heery International8 New England Executive Park Suite 150Burlington, MA 01803","$135,000", 3/27/2013, 
"Westfield, City of 59 Court St.Westfield, MA  01085",Notify email address listed when final publish date assigned.,Tammy Tefft,413-572-6254,CAN3/21/20133/31/201300029,2385,General Contract , ,Arch Rd. Drainage Project.,"J.L. Raymaakers1100 East Mountain Rd.Westfield, MA  01085","$684,745.46", 3/27/2013, 
"Westfield, City of 59 Court St.Westfield, MA  01085",Notify email address listed when final publish date assigned.,Tammy Tefft,413-572-6254,CAN3/21/20133/31/201300030,2376,General Contract , ,Water Pollution Control Plant Screenings Monorail Improvements.,"DelRay Contracting10 Nutmeg DriveEllington, CT  06029","$167,332", 3/27/2013, 
"Worcester, City ofHousing Authority81 Tacoma St.Worcester, MA 01605",Do not notify email address listed when final publish date assigned.,Stanley Miknaitis,508-635-3311,CAN3/21/20133/31/201300031,2012-14,General Contract , ,Re-roofing at Addison and Mill Pond Apartments.,"M.D.M. Engineering, Inc.51 Sawmill Rd.Dudley, MA 01571","$403,000", 3/27/2013, 
"Yarmouth, Town of Parks and Recreation424 Route 28West Yarmouth, MA 02673",Notify email address listed when final publish date assigned.,Patricia M. Armstrong,508-398-2231,CAN3/21/20133/31/201300032,13-04-PR,Designer Services , ,Architectural and Engineering Services for Completion of the Restroom Wing Addition for the Lodge Building at Flax Pond Recreation Area.,"Brown Lindquist Fenuccio & Raber Architects, Inc.203 Willow St. Suite AYarmouthport, MA 02675",To be negotiated, 3/27/2013, 
"Bourne Water DistrictBoard of Water CommissionersP.O. Box 1447Pocasset, MA 02559",Do not notify email address listed when final publish date assigned.,Gregory J. Eldridge,978-648-6025,CAN4/1/20134/10/201300000,2012-1,General Contract , ,Construction of Water Pump Station #8 and New Production Well at WS-4.,"Winston Builders Corp.P.O. Box 99055 Hopkinton Rd.Westborough, MA 01581","$1,476,889", 4/3/2013,"A. Scolaro Masonry, Inc., $39,999.99; John W. Egan Co., $24,500; United Plumbing & Heating, $71,995; Ewing Electrical Co., $229,700."
"Bristol Community College777 Elsbree St.Fall River, MA 02720",Notify email address listed when final publish date assigned.,Philicia Pacheco,508-678-2811,CAN4/1/20134/10/201300001,M-15-13,General Contract , ,Elevator Renovation at Building G Kitchen.,"Contractors Network, Inc. 38 Edmund St.East Providence, RI 02914","$138,000", 4/3/2013,"Associated ElevatorP.O. Box 500583 Forest Rd.South Yarmouth, MA 02664"
"Cambridge, City of 795 Massachusetts Ave.Cambridge, MA 02139",Notify email address listed when final publish date assigned.,Cynthia H. Griffin,617-349-4310,CAN4/1/20134/10/201300002,5998,General Contract , ,Expansion of Scada/Telemetry System.,"R.H. White Construction Co., Inc.41 Central St.Auburn, MA 01501","$257,700", 4/3/2013, 
"Concord, Town of Municipal Light Plant1175 Elm St.Concord, MA 01742",Do not notify email address listed when final publish date assigned.,Thomas Christensen,978-318-3112,CAN4/1/20134/10/201300003,2002,General Contract , ,Warehouse Construction.,"Dagle Electrical Construction Corp.285 Salem St.Woburn, MA 01801","$737,932", 4/3/2013,"Rockwell Roofing, Inc., Bello Painting Co., Inc., Canton Masonry, Dagle Electrical Construction Corp."
"Dartmouth, Town of Board of Public WorksDepartment of Public Works759 Russells Mills Rd.Dartmouth, MA 02748",Notify email address listed when final publish date assigned.,"David T. Hickox, P.E.",508-999-0740,CAN4/1/20134/10/201300004, ,General Contract , ,Sidewalk and Roadway Improvements on Potter St.,"L.A.L. Construction, Inc.145 15th St.Fall River, MA 02722","$333,773.78", 4/3/2013, 
"Developmental Services, Department of (DDS)Engineering Office500 Harrison Ave.Boston, MA 02118",Notify email address listed when final publish date assigned.,Sheila O'Brien,617-624-7887,CAN4/1/20134/10/201300005,DDS 13-17,General Contract , ,"Renovate Kitchen at 64 Walnut St., Lexington.","Kosmos Construction, Inc.101 Washington St.Ayer, MA 01432","$19,800", 4/3/2013, 
"Gloucester, City of Purchasing Department9 Dale Ave.Gloucester, MA 01930",Do not notify email address listed when final publish date assigned.,Donna Compton,978-281-9710,CAN4/1/20134/10/201300006,13107,General Contract , ,Annisquam River Crossing Water Main Project.,"Aqua Line Utility, Inc.268 Washington St.East Bridgewater, MA 02333","$2,534,914", 4/3/2013, 
"Holyoke, City of Gas and Electric Department (HG&E)99 Suffolk St.Holyoke, MA 01040",Do not notify email address listed when final publish date assigned.,Yocelyn Delgado,413-536-9308,CAN4/1/20134/10/201300007,12-35,General Contract , ,2012 Hydraulic Turbine Mechanical Maintenance and Repair On-Call Services Contract.,"O'Connor Corp.45 Industrial DriveCanton, MA  02021",Various Unit Prices, 4/3/2013, 
"Lynn, City ofHousing Authority and Neighborhood Development10 Church St.Lynn, MA  01902",Do not notify email address listed when final publish date assigned.,Ravi Addanki,508-884-5094,CAN4/1/20134/10/201300008,DHCD #163073,General Contract , ,Replacement of existing hot water supply and return piping in the crawlspace at six residential buildings at Meadow Court Elderly Housing (667-3A) Development.,"Falite Brothers, Inc.9 BroadwayWakefield, MA  01880","$356,000", 4/3/2013, 
"Norton, Town ofHousing Authority120 West Main St.Norton, MA  02766",Notify email address listed when final publish date assigned.,Andrea Downey,508-285-3929,CAN4/1/20134/10/201300009,218025001,General Contract , ,Removal and replacement of 70 windows.,"Red Oak Remodeling35 Sugar Maple DriveCoventry, RI  02816","$61,000", 4/3/2013, 
"Orleans, Town of Town Administrator's Office19 School Rd.Orleans, MA 02653",Notify email address listed when final publish date assigned.,Town Administrator's Office,508-240-3700 ext. 415,CAN4/1/20134/10/201300010, ,General Contract , ,Site Improvements at Skaket Beach Parking Lot.,"Bortolotti Construction, Inc.45 Industry Rd.Marstons Mills, MA 02648","$244,625", 4/3/2013, 
"Port Authority, Massachusetts Capital Programs DepartmentOne Harborside DriveEast Boston, MA 02128",Notify email address listed when final publish date assigned.,Bob Leger,617-568-5950,CAN4/1/20134/10/201300011, ,General Contract , ,North and South Gate Security Modifications.,"Bond Brothers145 Spring St.Everett, MA 02149","$898,800", 4/3/2013, 
"Port Authority, Massachusetts Capital Programs DepartmentOne Harborside DriveEast Boston, MA 02128",Notify email address listed when final publish date assigned.,Chris Hanlon,617-568-5950,CAN4/1/20134/10/201300012, ,General Contract , ,Terrazzo Repairs Term Contract.,"Page Building Construction Co., Inc.135 Old Page St. Unit 4Stoughton, MA 02072","$715,669", 4/3/2013, 
"Port Authority, Massachusetts Capital Programs DepartmentOne Harborside DriveEast Boston, MA 02128",Notify email address listed when final publish date assigned.,Nhuy Hoang,617-568-5950,CAN4/1/20134/10/201300013,AP1308-C1,General Contract , ,Waterfront Repair Term Contract.,"S.P.S. New England, Inc.98 Elm St.Salisbury, MA 01952","$429,600", 4/3/2013, 
"Quincy, City ofHousing Authority80 Clay St.Quincy, MA 02170",Notify email address listed when final publish date assigned.,Houda Shuman,617-847-4378 ext. 200,CAN4/1/20134/10/201300014,2012-56   DHCD # 243111,General Contract , ,Crowley Court Fire Alarm Upgrade 667-1.,"Aurora Electric, Inc.P.O. Box 6301Providence, RI 02940","$193,800", 4/3/2013, 
"Quincy, City ofHousing Authority80 Clay St.Quincy, MA 02170",Notify email address listed when final publish date assigned.,Houda Shuman,617-847-4378 ext. 200,CAN4/1/20134/10/201300015,2013-10 DHCD # 243108,General Contract , ,"Driveway/Walkway Resurfacing, Louis George Village.","Site Improvement, Inc.45 Christopher Drive Unit 148Methuen, MA 01844","$108,306", 4/3/2013, 
"Quincy, City ofHousing Authority80 Clay St.Quincy, MA 02170",Notify email address listed when final publish date assigned.,Houda Shuman,617-847-4378 ext. 200,CAN4/1/20134/10/201300016,2012-60 DHCD # 243112,General Contract , ,Louis George Fire Alarm 667-2.,"Brite-Lite Electric Co., Inc.11 Front St.Weymouth, MA 02188","$338,600", 4/3/2013, 
"Shrewsbury, Town of Town Manager's Office100 Maple Ave.Shrewsbury, MA 01545",Notify email address listed when final publish date assigned.,"Paul Queeney, Owner's Project Manager, PMA Consultants, LLC",781-794-1404,CAN4/1/20134/10/201300017,Library Constr. Project,Designer Services , ,Design Services for Town of Shrewsbury Library Construction Project.,"Lamoureux Pagano Associates, Architects108 Grove St. Suite 300Worcester, MA 01605",TBD, 4/3/2013, 
"Taunton, City ofHousing Authority30 Olney St.Taunton, MA  02780",Notify email address listed when final publish date assigned.,John Massey,508-824-0942,CAN4/1/20134/10/201300018,IFB #2-26-13,Designer Services , ,Miscellaneous fire alarm testing and repairs at various properties in Taunton.,"Professional Fire & Security, Inc.93 South Main St.Assonet, MA  02702","$6,835", 4/3/2013, 
"Taunton, City ofMunicipal Lighting Plant Commission (TMLP)55 Weir St.Taunton, MA  02780",Notify email address listed when final publish date assigned.,"George J. Mastin, Sr. TMLP Purchasing Administrator",508-824-3149,CAN4/1/20134/10/201300019,IFB13-01,General Contract , ,"Tree trimming in public and private ways of Berkley to maintain suitable electric line conductor clearance to include all materials, equipment, labor and supervision for the project.","Barnes Tree Service, Inc.P.O. Box 489123 Dexter LaneRochester, MA 02770","$257,375 (Estimated Time and Materials, not Lump Sum)", 4/3/2013, 
University of Massachusetts - Amherst140 Hicks WayAmherst MA 01002,Do not notify email address listed when final publish date assigned.,Peter Royer,413-545-0361,CAN4/1/20134/10/201300020,UMAPP13-120,General Contract , ,Campus Hardscape Trade Labor.,"Warner Bros. LLC.P.O. Box 91Sunderland, MA 01375","$129,600", 4/3/2013, 
"Winthrop, Town ofHousing Authority9 Golden DriveWinthrop, MA  02152",Notify email address listed when final publish date assigned.,Peg Tiernan Lyons,617-846-7100,CAN4/1/20134/10/201300021,346056,General Contract , ,Fixed Window Replacement Project.,"Mike's Construction Co., Inc.332 Mason Rd. ExtensionDudley, MA 01571","$42,758", 4/3/2013, 
"Winthrop, Town ofHousing Authority9 Golden DriveWinthrop, MA  02152",Notify email address listed when final publish date assigned.,Peg Tiernan Lyons,617-846-7100,CAN4/1/20134/10/201300022,346060,General Contract , ,"Roof and canopy replacement, Kennedy Rd.","Ted Construction, Inc.16 Waverley AveWatertown, MA  02472","$33,950", 4/3/2013, 
"Brockton, City ofHousing Authority45 Goddard Rd.Brockton, MA 02301",Notify email address listed when final publish date assigned.,Frank L. Hinds/Nancy Macedo,508-588-6880,CAN4/1/20134/10/201300023,200-2 Washburn Heights,General Contract , ,Brick and Lintel Repair and Replacement.,"East Coast Development, Inc.120 Main St.North Reading, MA 01864","$138,850", 4/10/2013, 
"Brockton, City of Building Department45 School St.Brockton, MA  02301",Do not notify email address listed when final publish date assigned.,Michael Morris,508-580-7191,CAN4/1/20134/10/201300024,BD 13-WMAUDIO,Designer Services , ,New Sound System at the Brockton War Memorial Building.,"Ostrow Electrical Co., Inc.9 Mason St.Worcester, MA  01609","$38,700", 4/10/2013, 
"Brockton, City of Department of Public Works45 School St.Brockton, MA 02301",Notify email address listed when final publish date assigned.,Michael Morris,508-580-7191,CAN4/1/20134/10/201300025,DPW 13-12,General Contract , ,Surge Control System at the Brockton Silver Lake Water Treatment Facility.,"Hart Engineering Corp.800 Scenic View DriveCumberland, RI 02864","$494,000", 4/10/2013, 
"Brockton, City of Fire Department560 West St.Brockton, MA 02301",Notify email address listed when final publish date assigned.,Michael Morris,508-580-7191,CAN4/1/20134/10/201300026,FD 13-Shoring,General Contract , ,Structural Shoring of Existing Floors at Station #2 and #3.,"Paul J. Rogan Co., Inc.25 Hayward St.Braintree, MA 02184","$108,500", 4/10/2013, 
"Cambridge, City of 795 Massachusetts Ave.Cambridge, MA 02139",Do not notify email address listed when final publish date assigned.,Cynthia H. Griffin,617-349-4310,CAN4/1/20134/10/201300027,6036,Real Property , ,Lease of Parking Lot for Fletcher Maynard Academy of the Cambridge Public Schools.,"Cambridge Community Outreach Tabernacle, Inc.180 Harvard St.Cambridge, MA 02139","$55,488 (36-month lease)", 4/10/2013, 
